RUC;NOMBRE;UBICACION;TELEFONO
-;RVA - CAJAMARCA;CAJAMARCA;-
-;RYB 109;STA. MERCEDEZ;-
-;SANCHEZ - CHIMBOTE;CHIMBOTE;-
-;SANDRA - CHIMBOTE;CHIMBOTE;-
-;SANDRA - V.E.S;VILLA EL SALVADOR;-
-;SANDRO;CONSTRUCENTER;-
-;SANICENTER;CUADRA 10;-
-;SANTA CERAMIC;-;-
-;SANTA CRUZ 1069;GALERIA 1069;-
-;SANTA ROSA;STA. INES;-
-;SARA 923;CUADRA 9;-
-;SAUL - COMAS;COMAS;-
-;SAUL - HUARAZ;HUARAZ;-
-;SENDY - CASADET 951;CUADRA 9;-
-;SEVERINO - HUARAZ;HUARAZ;-
-;SEYTU;-;-
-;SIKA;-;-
-;SILVESTRE;-;-
-;SILVIA;-;-
-;SIN TIENDA;-;-
-;SOL 1069 ;GALERIA 1069;-
-;SONIA - COMAS;COMAS;-
-;SORY;-;-
-;SR. JUAN G;-;-
-;STA. CLORINDA 1198;STA. CLORINDA;-
-;STA. CLORINDA 832;STA. CLORINDA;-
-;STA. CLORINDA 950;STA. CLORINDA;-
-;STA. CLORINDA 956;STA. CLORINDA;-
-;STA. CLORINDA 968;STA. CLORINDA;-
-;STA. CLORINDA 974;STA. CLORINDA;-
-;STA. CLORINDA 982;STA. CLORINDA;-
-;STA. CLORINDA 983;STA. CLORINDA;-
-;STA. CLORINDA 987;STA. CLORINDA;-
-;STA. LUCRECIA NKORAL 173;-;-
-;STILO Y DEC - SURQUILLO;SURQUILLO;-
-;STILOS 833;CUADRA 8;-
-;STIM CENTER - CHICLAYO;CHICLAYO;-
-;SUPERCERAMIC 989;CUADRA 9;-
-;SURCENTER;-;-
-;TAFUR - PTE. PIEDRA;PTE. PIEDRA;-
-;TEO 1105;CUADRA 11;-
-;THIAGO - COMAS;COMAS;-
-;THOMAS;-;-
-;TITO - COMAS;COMAS;-
-;TOP HOUSE;-;-
-;TOTAL ACABADOS 1019;GALERIA 1019;-
-;VALENTIN - PTE. PIEDRA;PTE. PIEDRA;-
-;VALENTINA - ATE;ATE;-
-;VALENTINA - S.J.L;SAN JUAN DE LURIGANCHO;-
-;VANESA;-;-
-;VENTA JUANDER;-;-
-;VERONICA;-;-
-;VICTORIA;-;-
-;VILLANUEVA 930;FRENTE;-
-;VIVIANA - CHIMBOTE;CHIMBOTE;-
-;VYS;CONSTRUCENTER;-
-;WILFREDO 106;STA. MERCEDEZ;-
-;WILIAM - PIURA;PIURA;-
-;WILL CERAMIC;-;-
-;WILLY;-;-
-;WORK CENTER - HUARAZ;HUARAZ;-
-;XAREN;CONSTRUCENTER;-
-;XAVIXA;CONSTRUCENTER;-
-;YACERAMIC 999;CUADRA 9;-
-;YANELI;-;-
-;YESENIA ALFARO;-;-
-;YOLA;CONSTRUCENTER;-
-;YOMONA;-;-
-;ZAMORA;CUADRA 11;-
-;ZAVALA;-;-
-;ZENDY 891;CUADRA 8;-
-;ZERZAID;-;-
-;ZOCALOS PERU 945A;CUADRA 9;-
-;ZORY;-;-
