IMAGEN;NOMBRE;COD_PRODUCTO;CATEGORIA;PRECIO;CANTIDAD
-;NEGRO VITRIFICADO;-;FACHALETAS;S/ 32.59;1000
-;NEGRO VITRIFICADO 120;-;PORCELANATOS;S/ 54.28;1000
-;NEVADO GRIS;-;PORCELANATOS;S/ 29.81;1000
-;NEW GALAXY 120;-;MAYOLICAS;S/ 59.71;1000
-;OLIVO NATURAL;-;CERAMICAS;S/ 35.69;1000
-;OLIVO NEGRO;-;CERAMICAS;S/ 25.70;1000
-;ONIX BLACK;-;CERAMICAS;S/ 34.32;1000
-;OREO BLACK;-;CERAMICAS;S/ 31.59;1000
-;ORION NEGRO;-;CERAMICAS;S/ 17.69;1000
-;PAQUETES DE VARILLAS;-;PORCELANATOS;S/ 36.73;1000
-;PARQUET BEIGE;-;PORCELANATOS;S/ 27.98;1000
-;PARQUET RUSTICO;-;DECORACIONES;S/ 36.47;1000
-;PEPELMA CEBRA;-;PEPELMAS;S/ 20.17;1000
-;PEPELMA ESPANOLA;-;PEPELMAS;S/ 34.59;1000
-;PERLA IMPERIAL;-;FACHALETAS;S/ 32.09;1000
-;PETRA MIX;-;MAYOLICAS;S/ 29.92;1000
-;PIEDRA BEIGE;-;CERAMICAS;S/ 52.69;1000
-;PRISCO GREY;-;PORCELANATOS;S/ 33.02;1000
-;REBECA COCINA;-;DECORACIONES;S/ 22.72;1000
-;REMO CLARO;-;CERAMICAS;S/ 28.07;1000
-;ROBLE DARK;-;MAYOLICAS;S/ 43.56;1000
-;ROMBO CLARO;-;MAYOLICAS;S/ 31.30;1000
-;RUSTICO BEIGE;-;PORCELANATOS;S/ 31.41;1000
-;RUSTICO GRIS;-;CERAMICAS;S/ 32.32;1000
-;RUSTICO HUMO;-;CERAMICAS;S/ 34.08;1000
-;RUSTICO OLMO;-;PORCELANATOS;S/ 36.07;1000
-;SAHARA;-;MAYOLICAS;S/ 17.75;1000
-;SAHARA COCINA;-;DECORACIONES;S/ 6.17;1000
-;SATINADO GREY;-;PORCELANATOS;S/ 30.37;1000
-;SATVARIO DARK;-;CERAMICAS;S/ 46.82;1000
-;SATVARIO GREY;-;CERAMICAS;S/ 36.11;1000
-;SAVATARIO BROWN;-;CERAMICAS;S/ 26.10;1000
-;SAVATARIO DARK;-;CERAMICAS;S/ 32.51;1000
-;SEPIA 120;-;PORCELANATOS;S/ 25.78;1000
-;SILVER AZUL;-;CERAMICAS;S/ 30.63;1000
-;SILVER PLATA;-;CERAMICAS;S/ 26.63;1000
-;SKY BLUE;-;PORCELANATOS;S/ 27.51;1000
-;SKY GOLD;-;FACHALETAS;S/ 36.67;1000
-;SLATE 120;-;PORCELANATOS;S/ 37.39;1000
-;SOFIA CORAL;-;PORCELANATOS;S/ 31.56;1000
-;STATUARIO 120;-;PORCELANATOS;S/ 28.35;1000
-;STELLAR;-;PORCELANATOS;S/ 45.45;1000
-;SUBLIME GREY;-;PORCELANATOS;S/ 33.75;1000
-;SUPER BLANCO;-;PORCELANATOS;S/ 29.84;1000
-;SUPER NEGRO;-;PORCELANATOS;S/ 34.16;1000
-;TABLITAS BEIGE;-;PORCELANATOS;S/ 56.15;1000
